v1000_1,v1000_2,v1000_3,v10000_1,v10000_2,v10000_3,v50000_1,v50000_2,v50000_3,v60000_1,v60000_2,v60000_3
7448,76098,40924,8883,4055,58679,56151,11258,48508,27999,19114,26255
13987,82638,41269,98441,51313,83725,60791,18697,7835,17147,52728,55689
55824,78768,73731,93480,34476,46287,65468,91137,43332,86654,2183,4929
96015,76960,17216,48621,86929,59775,14753,30186,10006,89814,57081,38189
58144,4089,3664,99680,81893,46171,53032,40681,35482,52467,28750,76966
19806,28552,90368,1078,36259,97377,37304,54089,57049,98883,81958,81957
42119,82602,79120,52530,10666,72977,40170,52918,16773,26862,38265,72286
7382,85943,88855,70558,49200,4331,92472,78773,46497,25746,31957,75709
52983,69508,35664,27152,41524,38727,12144,29039,45717,14571,95301,59891
15542,16651,23394,52783,98365,76228,4617,98554,76014,49738,61271,2883
72582,52390,27027,38102,45246,26062,48898,54918,91559,46800,77297,10328
59155,68383,51401,67686,46178,52019,91771,48523,46048,79619,61051,80461
49975,48105,37495,7174,63937,38588,17087,23883,16371,34551,41646,64914
95083,36788,89454,54290,15383,6703,23706,54732,48246,37317,51105,95047
4493,34286,98299,71179,81831,39691,563,26185,38193,50003,49331,42898
4295,78841,23964,44721,7447,27643,68074,89178,66467,16633,73789,59007
41237,20397,22196,61942,94502,19137,52850,90791,48711,19595,88141,63348
68159,13628,28008,10168,16495,86428,90594,42338,9969,35099,2138,63256
8118,86298,83618,87862,11146,7935,18398,81658,72253,2146,94742,91763
80627,65393,15676,43153,41716,8405,57348,16862,72407,85792,18532,53319
30355,92347,62498,23553,99971,1940,5138,10899,34217,77028,89094,5088
48899,69190,10720,93642,37949,99339,22357,12893,46169,75624,81583,34121
92340,65078,26566,93249,21591,85026,35079,94348,47415,7725,11824,67899
29450,83721,46723,74778,54196,54088,64057,3910,80424,79271,63393,46883
73085,25086,69571,7453,73134,1726,99960,79892,28112,25881,41323,54008
28239,11360,87376,14742,23455,13317,9029,85363,99647,83703,37271,89934
24545,97627,64671,86672,82839,73994,48443,39417,48262,19755,37943,45701
45880,2051,86507,57855,77410,55631,92699,39259,19935,85165,94249,41793
64174,4332,70746,38649,44705,86921,7161,52141,55977,80476,79074,19034
53551,3509,81412,67691,35553,27574,41544,96167,85805,51894,23517,40074
66684,97090,7719,4306,51498,31969,73850,73313,77648,89839,68552,42876
21504,72439,91890,49641,85983,32224,47128,79477,30549,89734,62960,79146
46945,59007,44179,59642,70352,3652,38335,14059,22911,46312,6069,39426
21177,90308,16040,35332,53000,44033,93046,55123,47612,28749,37140,25451
76797,12261,80243,27578,34985,53646,87042,63428,2607,32834,97579,15971
24117,98758,23352,79219,15306,32576,13533,68205,46590,97982,84739,226
56231,62448,60473,49960,25164,43823,55235,18089,70545,82458,61304,11457
24625,56695,72796,35532,82951,21545,4123,17343,25746,8088,19925,75181
42092,11307,86443,75097,65712,79828,70601,86031,85875,90255,81782,12979
48060,38903,38584,67557,44838,76842,24264,66754,65895,42832,41912,89601
88547,77620,58240,27211,37482,90985,23449,53519,60202,19392,41037,1525
53284,25467,24527,91116,44414,40174,84089,79150,66373,14639,26836,6958
74463,37022,90181,5139,63745,90620,7121,88481,27182,58884,78990,98951
61997,82583,61622,24114,60883,10501,76115,79968,11581,51723,53284,68780
72731,77050,80343,22440,73787,98728,80175,93821,89692,34187,76270,97379
98675,65461,46743,35545,66748,13532,39068,51208,83359,1772,48695,12334
80812,21423,38542,49444,18436,86470,7649,50911,23222,45181,35829,80237
36277,12680,4647,87189,15263,40266,18976,67765,10431,40336,63794,46211
24011,76730,32239,43868,95365,33969,24035,21983,38267,22234,96447,74777
87137,21434,24268,58650,45877,63816,82356,68331,16793,79936,86482,44066
46901,91258,346,37135,83068,22408,82894,8436,43608,35790,94456,83775
37985,99398,19277,17110,29511,81809,63582,80540,56783,69745,87467,4
39158,81483,22772,9108,90159,11448,43703,75856,84350,7881,56863,94675
83195,45198,24472,38076,47341,39184,68184,274,73271,58734,70854,85383
45310,87771,51246,95544,11687,29757,61013,67708,18681,54709,94309,77111
34465,43296,24348,50669,62190,80338,1334,44824,3714,34346,10676,53188
18162,12203,46127,65760,49051,53457,38669,60724,52514,59829,71159,25416
16235,72307,56797,43228,32258,22228,93733,71792,60920,20979,87428,43403
85860,12046,27567,78825,24538,63117,18231,7678,83782,83916,97504,97343
29229,79416,48369,11399,42652,22084,76341,20322,90653,9968,84947,31887
18141,29220,76277,59565,22574,97877,98435,96233,94003,51882,71248,63914
94827,54664,58642,75895,74047,2806,42632,16774,97279,22074,49860,44325
79606,38876,64208,59906,97209,72649,89523,10457,64549,20608,52831,42112
40492,84684,41414,47334,97916,7264,30783,30537,5752,92747,55751,67800
51649,83922,5255,29176,42984,12323,98174,24075,41115,21434,5073,13777
89947,90420,16863,62763,14433,21388,38506,87915,71070,80787,92478,49931
48798,45270,14856,74470,60156,34844,40591,83926,7652,80054,5111,21195
89480,99177,92500,63956,49131,8225,91394,28147,15810,34122,5688,12777
48893,62275,59256,9752,66767,18629,27595,65505,65170,13578,88324,95240
